Algorithm,Train Size,Train Time (s),Inference Speed (ms),Avg Tokens/Sentence
BPE,10%,0.0689,2.2871,106.0
BPE,50%,0.1519,0.5951,102.75
BPE,100%,0.2426,0.5519,103.75
WordPiece,10%,0.0675,0.406,104.75
WordPiece,50%,0.1411,0.3979,105.75
WordPiece,100%,0.1978,0.4079,107.25
